carat,cut,color,clarity,depth,table,price,x,y,z,id
1.01,Very Good,F,SI2,62.2,58.0,4332.0,6.33,6.38,3.95,0
0.9,Very Good,I,VS2,61.4,58.0,4089.0,6.22,6.25,3.83,1
0.53,Ideal,E,VVS2,62.2,54.0,2273.0,5.19,5.23,3.24,2
0.32,Ideal,I,IF,60.8,54.0,673.0,4.44,4.47,2.71,3
1.06,Ideal,G,VVS2,61.0,57.0,7900.0,6.55,6.57,4.0,4
0.51,Very Good,E,VVS2,61.3,55.0,2320.0,5.14,5.16,3.16,5
2.02,Ideal,H,VS2,61.6,56.0,18050.0,8.17,8.12,5.02,6
0.9,Ideal,H,SI1,61.1,58.0,3967.0,6.24,6.19,3.79,7
0.72,Very Good,J,VS2,62.2,58.0,2028.0,5.68,5.73,3.55,8
0.4,Ideal,E,SI1,61.1,56.0,945.0,4.79,4.77,2.92,9
0.5,Good,I,VS2,64.6,59.0,987.0,4.9,4.95,3.18,10
1.01,Very Good,F,VS2,58.8,59.0,6288.0,6.55,6.59,3.86,11
0.4,Very Good,E,SI1,60.9,56.0,737.0,4.76,4.8,2.91,12
0.46,Ideal,D,VS2,62.7,57.0,1326.0,4.89,4.93,3.08,13
1.13,Ideal,I,VVS1,61.6,57.0,7459.0,6.67,6.75,4.12,14
0.32,Very Good,E,SI1,63.4,56.0,672.0,4.34,4.31,2.74,15
1.7,Very Good,J,VS2,63.2,58.0,7730.0,7.56,7.5,4.76,16
0.42,Premium,F,VS1,60.9,59.0,1031.0,4.8,4.85,2.94,17
1.07,Ideal,D,IF,60.9,54.0,17042.0,6.66,6.73,4.08,18
1.0,Good,H,VS2,63.6,57.0,4305.0,6.35,6.26,4.01,19
0.9,Very Good,H,VVS1,62.1,59.0,4664.0,6.17,6.19,3.84,20
0.41,Very Good,E,VVS2,59.9,60.0,1233.0,4.8,4.82,2.88,21
1.59,Ideal,H,VS1,61.8,56.0,14031.0,7.49,7.53,4.64,22
0.3,Very Good,H,VVS2,62.9,57.0,605.0,4.28,4.31,2.7,23
0.7,Good,F,SI1,63.1,56.0,2127.0,5.63,5.66,3.56,24
1.5,Premium,H,VS1,62.1,59.0,11088.0,7.27,7.31,4.53,25
1.22,Good,H,SI2,63.5,56.0,6250.0,6.84,6.77,4.32,26
0.37,Ideal,E,VS2,62.7,56.0,1041.0,4.6,4.55,2.87,27
1.31,Premium,J,SI1,62.5,55.0,5480.0,7.05,6.97,4.38,28
0.3,Good,I,IF,63.3,57.0,631.0,4.23,4.3,2.7,29
1.59,Very Good,J,VS1,60.7,59.0,8515.0,7.49,7.54,4.56,30
0.4,Ideal,F,VS2,62.3,54.0,767.0,4.74,4.77,2.96,31
0.53,Premium,H,SI1,59.4,60.0,1242.0,5.26,5.24,3.12,32
1.22,Premium,E,SI1,62.6,58.0,7395.0,6.8,6.78,4.25,33
1.28,Premium,I,SI1,62.6,55.0,6093.0,6.97,6.93,4.35,34
0.32,Premium,E,VVS2,59.9,58.0,842.0,4.45,4.5,2.68,35
0.32,Very Geod,F,VVS1,61.5,57.0,886.0,4.38,4.41,2.7,36
0.52,Fair,E,VVS2,57.2,64.0,2079.0,5.27,5.36,3.04,37
1.05,Ideal,G,VS1,62.2,53.0,7270.0,6.51,6.55,4.06,38
1.02,Ideal,J,VVS2,62.1,57.0,3936.0,6.46,6.43,4.0,39
1.24,Good,G,SI2,63.7,60.0,4861.0,6.77,6.7,4.3,40
0.71,Very Good,G,VS1,63.5,56.0,2368.0,5.67,5.63,3.59,41
1.01,Very Good,D,SI1,61.6,60.0,5443.0,6.43,6.47,3.97,42
0.7,Ideal,E,SI1,62.8,56.0,2537.0,5.69,5.72,3.58,43
1.01,Good,G,VS2,60.3,57.0,5655.0,6.46,6.51,3.91,44
0.3,Premium,J,VS2,60.6,59.0,473.0,4.38,4.34,2.64,45
2.0,Good,J,SI1,64.1,58.0,9193.0,7.85,7.79,5.01,46
0.3,Ideal,E,VVS2,62.0,55.0,743.0,4.3,4.34,2.68,47
1.5,Good,I,SI1,64.0,60.0,8580.0,7.13,7.25,4.6,48
0.5,Premium,G,SI1,63.0,56.0,1138.0,5.07,5.02,3.18,49
1.3,Premium,E,SI2,61.5,59.0,5751.0,7.05,7.0,4.32,50
0.94,Premium,E,SI2,60.4,59.0,3825.0,6.34,6.37,3.84,51
1.52,Premium,G,VS2,62.0,58.0,13483.0,7.33,7.39,4.56,52
0.55,Premium,E,SI1,62.4,57.6,1630.0,5.23,5.28,3.27,53
0.33,Ideal,H,VS1,61.9,56.0,743.0,4.48,4.44,2.76,54
0.32,Premium,E,SI1,61.6,56.0,720.0,4.41,4.39,2.71,55
0.4,Ideal,E,VS1,61.7,55.0,1125.0,4.76,4.73,2.93,56
0.33,Ideal,G,VS2,62.5,57.0,579.0,4.39,4.41,2.75,57
1.01,Good,I,SI1,64.1,59.0,3676.0,6.24,6.21,3.99,58
1.02,Good,G,VS1,57.3,59.0,5706.0,6.71,6.65,3.83,59
1.51,Very Good,F,SI1,63.0,61.0,11560.0,7.27,7.3,4.59,60
0.42,Ideal,H,IF,61.9,56.0,1273.0,4.81,4.79,2.97,61
1.51,Fair,D,VS2,66.0,57.0,15152.0,7.17,7.08,4.7,62
0.52,Ideal,E,VS2,61.1,57.0,1689.0,5.18,5.2,3.17,63
0.34,Ideal,E,IF,62.0,56.0,1163.0,4.47,4.5,2.78,64
0.4,Ideal,E,VS1,59.2,62.0,1180.0,4.8,4.83,2.85,65
0.3,Premium,F,VS2,62.2,58.0,776.0,4.31,4.28,2.67,66
0.9,Premium,E,SI2,63.0,57.0,3084.0,6.08,6.05,3.82,67
0.33,Premium,G,VVS1,61.9,59.0,1114.0,4.41,4.38,2.72,68
1.17,Ideal,G,VS2,61.5,57.0,6139.0,6.86,6.8,4.2,69
