num_paralela,num_x,tercero,cod_op,op_2021,apli,importe,exp_gasto,exp_gestor,num_error,error
00159222B10000003,*,*,2001000,00159221330000973,20221401  312A1  660,38000.00,101000002468,2002140010001001795,1,Los campos DIR3 son requeridos
00159222B10000004,*,000355430273,2002300,00159221330004190,20221401  312A1  660,38000.00,013062100060,2002140010001001795,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10000004
00159222B10000005,*,*,2001000,00159221330000912,20221401  312A1  660,77817.64,101000002397,2002140010001001796,1,Los campos DIR3 son requeridos
00159222B10000006,*,000B81171118,2002300,00159221330003070,20221401  312A1  660,77817.64,013062100058,2002140010001001796,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10000006
00159222B10000009,*,*,2001000,00159220330000017,20221401  121M2  22799,3450.26,101000005519,,1,Los campos DIR3 son requeridos
00159222B10000010,*,000B20852570,2002300,00159220330000018,20221401  121M2  22799,3450.26,101000010909,,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10000010
00159222B10000011,*,*,2001000,00159220330000118,20221401  121M2  22799,87237.99,101000004496,,1,Los campos DIR3 son requeridos
00159222B10000012,*,000B82013558,2002300,00159221330001617,20221401  121M2  22799,87237.99,101000004117,,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10000012
00159222B10000013,*,*,2001000,00159220330000119,20221401  121M2  22799,6774.15,101000005392,,1,Los campos DIR3 son requeridos
00159222B10000014,*,000B84951490,2002300,00159220330000345,20221401  121M2  22799,6774.15,101000001303,,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10000014
00159222B10000015,*,*,2001000,00159220330001408,20221401  121M2  22701,1453.00,101000004227,,1,Los campos DIR3 son requeridos
00159222B10000016,*,000A86376803,2002300,00159220330001886,20221401  121M2  22701,1453.00,101000005019,,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10000016
00159222B10000017,*,*,2001000,00159220330001408,20221401  121M2  22701,4471.00,101000004227,,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10000017
00159222B10000018,*,000A86376803,2002300,00159220330001887,20221401  121M2  22701,4471.00,101000005020,,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10000018
00159222B10000019,*,*,2001000,00159220330001408,20221401  121M2  22701,1321.00,101000004227,,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10000019
00159222B10000020,*,000A86376803,2002300,00159220330001888,20221401  121M2  22701,1321.00,101000005021,,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10000020
00159222B10000021,*,*,2001000,00159220330001408,20221401  121M2  22701,1016.00,101000004227,,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10000021
00159222B10000022,*,000A86376803,2002300,00159220330001889,20221401  121M2  22701,1016.00,101000005022,,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10000022
00159222B10000023,*,*,2001000,00159220330001408,20221401  121M2  22701,3251.00,101000004227,,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10000023
