iter	Passed	Remaining
0	6	6894
1	10	5471
2	17	5840
3	26	6511
4	31	6229
5	38	6372
6	46	6581
7	54	6811
8	60	6661
9	63	6325
10	68	6116
11	71	5918
12	74	5669
13	78	5518
14	82	5432
15	85	5244
16	87	5036
17	91	4967
18	109	5669
19	114	5603
20	119	5561
21	123	5492
22	130	5545
23	134	5478
24	139	5440
25	146	5485
26	154	5564
27	163	5663
28	171	5758
29	176	5713
30	184	5765
31	188	5691
32	195	5740
33	199	5673
34	203	5611
35	205	5501
36	212	5518
37	215	5453
38	221	5458
39	227	5450
40	233	5456
41	237	5423
42	247	5506
43	250	5445
44	254	5409
45	261	5425
46	267	5423
47	272	5405
48	281	5468
49	286	5449
50	294	5471
51	297	5418
52	304	5433
53	309	5422
54	316	5438
55	325	5486
56	331	5491
57	338	5490
58	345	5508
59	358	5619
60	364	5618
61	371	5623
62	375	5588
63	380	5564
64	396	5705
65	404	5724
66	409	5696
67	416	5703
68	427	5774
69	433	5757
70	437	5720
71	446	5750
72	450	5717
73	458	5733
74	461	5692
75	465	5653
76	468	5619
77	471	5577
78	475	5548
79	479	5509
80	483	5481
81	486	5450
82	491	5430
83	494	5396
84	497	5356
85	500	5321
86	504	5289
87	505	5240
88	508	5209
89	512	5183
90	516	5162
91	520	5135
92	523	5101
93	526	5074
94	530	5050
95	534	5028
96	537	5000
97	540	4974
98	543	4949
99	546	4920
100	549	4891
101	552	4862
102	555	4834
103	558	4807
104	560	4780
105	563	4752
106	566	4723
107	568	4696
108	570	4660
109	572	4634
110	575	4609
111	578	4589
112	582	4569
113	584	4546
114	587	4523
115	590	4501
116	593	4477
117	594	4445
118	597	4423
119	599	4399
120	602	4378
121	605	4356
122	608	4337
123	611	4317
124	613	4296
125	616	4274
126	620	4263
127	623	4247
128	633	4276
129	636	4259
130	639	4242
131	642	4224
132	645	4208
133	652	4213
134	655	4197
135	659	4191
136	664	4188
137	667	4172
138	670	4155
139	673	4139
140	676	4121
141	679	4105
142	682	4088
143	685	4075
144	689	4064
145	692	4053
146	695	4038
147	699	4024
148	702	4009
149	704	3994
150	707	3979
151	710	3964
152	713	3949
153	716	3936
154	719	3921
155	721	3905
156	724	3889
157	726	3873
158	729	3857
159	732	3845
160	735	3831
161	737	3816
162	740	3801
163	743	3788
164	746	3776
165	749	3767
166	764	3813
167	767	3799
168	770	3786
169	773	3774
170	776	3762
171	779	3751
172	781	3736
173	784	3723
174	787	3710
175	790	3699
176	792	3686
177	795	3674
178	798	3661
179	801	3649
180	803	3636
181	806	3624
182	809	3614
183	812	3603
184	815	3593
185	818	3580
186	821	3570
187	824	3562
188	827	3551
189	830	3540
190	833	3528
191	838	3526
192	841	3517
193	843	3504
194	846	3493
195	848	3482
196	851	3470
197	853	3458
198	856	3446
199	858	3434
200	861	3423
201	863	3411
202	866	3401
203	870	3394
204	872	3384
205	875	3373
206	879	3368
207	882	3359
208	884	3348
209	887	3338
210	890	3328
211	892	3319
212	895	3309
213	898	3300
214	901	3289
215	903	3279
216	906	3269
217	908	3259
218	911	3249
219	913	3239
220	916	3229
221	918	3220
222	921	3210
223	924	3201
224	927	3193
225	930	3187
226	933	3180
227	936	3170
228	938	3160
229	941	3151
230	943	3142
231	946	3133
232	949	3124
233	951	3115
234	954	3105
235	956	3096
236	959	3088
237	961	3079
238	964	3071
239	967	3062
240	970	3055
241	972	3047
242	975	3038
243	977	3029
244	980	3022
245	983	3013
246	988	3012
247	990	3004
248	993	2995
249	995	2987
250	998	2980
251	1001	2973
252	1004	2965
253	1007	2957
254	1009	2950
255	1013	2944
256	1015	2936
257	1018	2928
258	1021	2921
259	1023	2913
260	1026	2905
261	1028	2898
262	1031	2890
263	1033	2882
264	1036	2874
265	1039	2867
266	1041	2860
267	1044	2852
268	1046	2844
269	1049	2837
270	1052	2830
271	1054	2822
272	1057	2814
273	1059	2808
274	1062	2801
275	1065	2794
276	1068	2787
277	1071	2781
278	1073	2774
279	1075	2766
280	1077	2757
281	1078	2747
282	1081	2739
283	1083	2732
284	1086	2725
285	1089	2718
286	1091	2711
287	1093	2704
288	1096	2697
289	1098	2689
290	1102	2685
291	1105	2679
292	1107	2672
293	1109	2665
294	1112	2658
295	1114	2650
296	1117	2644
297	1119	2638
298	1122	2631
299	1123	2621
300	1125	2614
301	1128	2608
302	1131	2602
303	1134	2596
304	1136	2590
305	1139	2584
306	1141	2577
307	1144	2572
308	1147	2565
309	1149	2558
310	1151	2551
311	1154	2545
312	1156	2538
313	1159	2532
314	1162	2527
315	1164	2520
316	1167	2515
317	1170	2509
318	1172	2503
319	1175	2497
320	1178	2491
321	1180	2485
322	1183	2480
323	1185	2474
324	1188	2468
325	1190	2462
326	1193	2456
327	1196	2451
328	1199	2445
329	1201	2439
330	1204	2434
331	1206	2428
332	1209	2423
333	1212	2417
334	1215	2412
335	1217	2406
336	1220	2401
337	1223	2396
338	1226	2391
339	1229	2385
340	1231	2379
341	1233	2373
342	1236	2368
343	1238	2362
344	1240	2354
345	1242	2348
346	1245	2343
347	1247	2337
348	1250	2332
349	1252	2326
350	1254	2318
351	1256	2313
352	1259	2307
353	1261	2302
354	1264	2297
355	1267	2292
356	1270	2287
357	1272	2282
358	1275	2276
359	1277	2271
360	1280	2266
361	1282	2261
362	1285	2255
363	1288	2251
364	1291	2246
365	1294	2242
366	1296	2236
367	1299	2232
368	1302	2227
369	1305	2222
370	1307	2217
371	1310	2211
372	1312	2206
373	1315	2201
374	1317	2196
375	1320	2191
376	1322	2185
377	1324	2179
378	1327	2174
379	1330	2170
380	1332	2165
381	1335	2160
382	1337	2155
383	1340	2150
384	1342	2144
385	1345	2139
386	1347	2134
387	1350	2129
388	1351	2123
389	1354	2118
390	1356	2113
391	1359	2108
392	1361	2103
393	1364	2098
394	1367	2093
395	1369	2088
396	1372	2084
397	1374	2079
398	1377	2074
399	1379	2069
400	1382	2065
401	1385	2061
402	1388	2057
403	1391	2052
404	1394	2048
405	1396	2043
406	1399	2038
407	1401	2034
408	1404	2029
409	1406	2024
410	1409	2019
411	1411	2015
412	1414	2010
413	1417	2005
414	1419	2001
415	1422	1996
416	1425	1992
417	1429	1989
418	1431	1985
419	1434	1980
420	1436	1976
421	1439	1971
422	1441	1966
423	1444	1961
424	1446	1957
425	1449	1952
426	1451	1947
427	1454	1943
428	1456	1939
429	1459	1934
430	1462	1930
431	1465	1926
432	1468	1922
433	1470	1917
434	1473	1914
435	1475	1909
436	1478	1904
437	1480	1900
438	1483	1895
439	1486	1891
440	1488	1886
441	1491	1882
442	1493	1878
443	1496	1873
444	1498	1869
445	1501	1864
446	1503	1860
447	1506	1856
448	1508	1850
449	1510	1846
450	1513	1841
451	1515	1837
452	1517	1832
453	1520	1828
454	1522	1824
455	1525	1819
456	1527	1815
457	1529	1810
458	1532	1806
459	1534	1801
460	1537	1797
461	1539	1792
462	1542	1788
463	1544	1784
464	1547	1780
465	1549	1776
466	1552	1771
467	1554	1767
468	1557	1763
469	1559	1758
470	1561	1754
471	1564	1749
472	1566	1745
473	1569	1741
474	1571	1736
475	1573	1732
476	1576	1728
477	1578	1724
478	1581	1720
479	1584	1717
480	1587	1713
481	1590	1709
482	1592	1704
483	1594	1700
484	1597	1695
485	1598	1690
486	1601	1686
487	1603	1682
488	1606	1678
489	1608	1674
490	1611	1670
491	1613	1666
492	1615	1661
493	1618	1657
494	1620	1653
495	1623	1649
496	1625	1645
497	1628	1641
498	1630	1637
499	1633	1633
500	1636	1629
501	1638	1625
502	1641	1621
503	1643	1617
504	1645	1613
505	1648	1609
506	1651	1605
507	1653	1601
508	1655	1597
509	1658	1593
510	1660	1589
511	1663	1585
512	1665	1581
513	1668	1577
514	1670	1573
515	1673	1569
516	1676	1565
517	1678	1562
518	1681	1558
519	1683	1554
520	1685	1549
521	1688	1546
522	1690	1542
523	1693	1538
524	1695	1534
525	1697	1530
526	1700	1526
527	1704	1523
528	1706	1519
529	1709	1515
530	1712	1512
531	1714	1508
532	1717	1504
533	1719	1500
534	1722	1496
535	1724	1492
536	1726	1488
537	1729	1484
538	1731	1481
539	1734	1477
540	1737	1473
541	1739	1470
542	1742	1466
543	1745	1463
544	1747	1459
545	1750	1455
546	1753	1451
547	1755	1448
548	1758	1444
549	1760	1440
550	1763	1436
551	1765	1432
552	1767	1428
553	1769	1424
554	1771	1420
555	1773	1416
556	1775	1412
557	1778	1408
558	1781	1405
559	1784	1401
560	1787	1398
561	1791	1395
562	1793	1392
563	1796	1388
564	1799	1385
565	1801	1381
566	1804	1377
567	1806	1374
568	1809	1370
569	1811	1366
570	1814	1363
571	1816	1359
572	1819	1355
573	1822	1352
574	1825	1349
575	1828	1345
576	1831	1342
577	1833	1338
578	1836	1335
579	1838	1331
580	1842	1328
581	1845	1325
582	1848	1321
583	1850	1318
584	1853	1314
585	1855	1311
586	1858	1307
587	1860	1303
588	1862	1299
589	1865	1296
590	1867	1292
591	1870	1288
592	1872	1285
593	1875	1282
594	1878	1278
595	1881	1275
596	1883	1271
597	1886	1268
598	1888	1264
599	1891	1260
600	1893	1257
601	1896	1253
602	1898	1250
603	1901	1246
604	1903	1242
605	1906	1239
606	1909	1236
607	1911	1232
608	1914	1229
609	1916	1225
610	1919	1221
611	1921	1218
612	1924	1214
613	1927	1211
614	1929	1207
615	1931	1204
616	1934	1200
617	1936	1197
618	1939	1193
619	1941	1189
620	1943	1186
621	1946	1182
622	1948	1179
623	1951	1175
624	1953	1172
625	1956	1168
626	1958	1165
627	1961	1161
628	1963	1158
629	1966	1154
630	1968	1151
631	1971	1148
632	1974	1144
633	1976	1141
634	1979	1137
635	1981	1134
636	1983	1130
637	1986	1127
638	1989	1123
639	1991	1120
640	1994	1116
641	1997	1113
642	2000	1110
643	2003	1107
644	2005	1103
645	2008	1100
646	2010	1096
647	2012	1093
648	2015	1089
649	2017	1086
650	2019	1082
651	2022	1079
652	2024	1075
653	2026	1072
654	2029	1068
655	2032	1065
656	2034	1062
657	2037	1058
658	2039	1055
659	2042	1052
660	2045	1048
661	2047	1045
662	2049	1041
663	2052	1038
664	2054	1034
665	2056	1031
666	2059	1028
667	2061	1024
668	2064	1021
669	2066	1017
670	2068	1014
671	2071	1011
672	2073	1007
673	2076	1004
674	2078	1000
675	2081	997
676	2084	994
677	2087	991
678	2090	988
679	2092	984
680	2095	981
681	2097	978
682	2099	974
683	2102	971
684	2104	967
685	2107	964
686	2109	961
687	2112	957
688	2114	954
689	2117	951
690	2121	948
691	2124	945
692	2126	942
693	2128	938
694	2131	935
695	2133	931
696	2135	928
697	2138	925
698	2140	921
699	2142	918
700	2144	914
701	2147	911
702	2149	908
703	2152	905
704	2155	901
705	2157	898
706	2160	895
707	2162	892
708	2165	888
709	2167	885
710	2170	882
711	2172	878
712	2175	875
713	2178	872
714	2180	869
715	2183	865
716	2185	862
717	2188	859
718	2190	856
719	2193	852
720	2195	849
721	2198	846
722	2201	843
723	2203	840
724	2206	836
725	2208	833
726	2211	830
727	2213	827
728	2216	823
729	2218	820
730	2221	817
731	2223	814
732	2225	810
733	2228	807
734	2230	804
735	2233	801
736	2235	797
737	2238	794
738	2240	791
739	2253	791
740	2256	788
741	2267	788
742	2269	785
743	2271	781
744	2274	778
745	2276	775
746	2279	771
747	2281	768
748	2283	765
749	2286	762
750	2288	758
751	2290	755
752	2293	752
753	2296	749
754	2298	745
755	2300	742
756	2302	739
757	2305	735
758	2307	732
759	2309	729
760	2311	726
761	2313	722
762	2315	719
763	2318	716
764	2320	712
765	2323	709
766	2325	706
767	2328	703
768	2331	700
769	2333	697
770	2336	693
771	2339	690
772	2341	687
773	2343	684
774	2345	681
775	2348	677
776	2350	674
777	2352	671
778	2355	668
779	2357	664
780	2359	661
781	2361	658
782	2364	655
783	2366	652
784	2369	648
785	2371	645
786	2373	642
787	2376	639
788	2378	636
789	2380	632
790	2383	629
791	2385	626
792	2387	623
793	2389	620
794	2392	616
795	2394	613
796	2396	610
797	2398	607
798	2400	603
799	2403	600
800	2405	597
801	2407	594
802	2409	591
803	2412	588
804	2414	584
805	2417	581
806	2419	578
807	2421	575
808	2423	572
809	2426	569
810	2428	565
811	2443	565
812	2445	562
813	2447	559
814	2449	556
815	2452	552
816	2454	549
817	2456	546
818	2458	543
819	2460	540
820	2462	536
821	2464	533
822	2466	530
823	2468	527
824	2470	524
825	2473	520
826	2475	517
827	2489	517
828	2491	513
829	2493	510
830	2495	507
831	2497	504
832	2499	501
833	2501	497
834	2503	494
835	2505	491
836	2507	488
837	2509	485
838	2511	481
839	2513	478
840	2515	475
841	2517	472
842	2519	469
843	2521	466
844	2523	462
845	2525	459
846	2527	456
847	2529	453
848	2532	450
849	2534	447
850	2536	444
851	2538	440
852	2540	437
853	2542	434
854	2548	432
855	2550	429
856	2564	427
857	2566	424
858	2568	421
859	2570	418
860	2573	415
861	2575	412
862	2578	409
863	2580	406
864	2582	402
865	2584	399
866	2594	398
867	2596	394
868	2598	391
869	2600	388
870	2602	385
871	2604	382
872	2606	379
873	2608	376
874	2610	372
875	2612	369
876	2614	366
877	2616	363
878	2618	360
879	2620	357
880	2622	354
881	2624	351
882	2626	348
883	2637	346
884	2639	342
885	2641	339
886	2643	336
887	2653	334
888	2655	331
889	2657	328
890	2659	325
891	2661	322
892	2668	319
893	2670	316
894	2672	313
895	2673	310
896	2675	307
897	2677	304
898	2679	301
899	2681	297
900	2683	294
901	2685	291
902	2687	288
903	2689	285
904	2691	282
905	2693	279
906	2695	276
907	2697	273
908	2699	270
909	2701	267
910	2703	264
911	2704	260
912	2706	257
913	2708	254
914	2710	251
915	2712	248
916	2714	245
917	2716	242
918	2717	239
919	2719	236
920	2722	233
921	2724	230
922	2726	227
923	2728	224
924	2730	221
925	2733	218
926	2735	215
927	2737	212
928	2739	209
929	2741	206
930	2743	203
931	2745	200
932	2747	197
933	2749	194
934	2751	191
935	2753	188
936	2755	185
937	2756	182
938	2758	179
939	2760	176
940	2772	173
941	2775	170
942	2777	167
943	2779	164
944	2781	161
945	2783	158
946	2785	155
947	2787	152
948	2789	149
949	2791	146
950	2793	143
951	2795	140
952	2802	138
953	2804	135
954	2807	132
955	2809	129
956	2811	126
957	2813	123
958	2816	120
959	2818	117
960	2820	114
961	2822	111
962	2824	108
963	2826	105
964	2828	102
965	2829	99
966	2832	96
967	2833	93
968	2835	90
969	2838	87
970	2840	84
971	2847	82
972	2849	79
973	2851	76
974	2853	73
975	2855	70
976	2857	67
977	2859	64
978	2861	61
979	2863	58
980	2865	55
981	2868	52
982	2870	49
983	2876	46
984	2878	43
985	2880	40
986	2882	37
987	2884	35
988	2886	32
989	2892	29
990	2894	26
991	2897	23
992	2899	20
993	2902	17
994	2904	14
995	2905	11
996	2907	8
997	2909	5
998	2911	2
999	2913	0
38	42
988	3541	39
989	3543	35
990	3546	32
991	3549	28
992	3552	25
993	3555	21
994	3558	17
995	3560	14
996	3562	10
997	3565	7
998	3567	3
999	3570	0
894	41
993	5897	35
994	5899	29
995	5902	23
996	5905	17
997	5908	11
998	5910	5
999	5913	0
	5687	28
995	5690	22
996	5694	17
997	5698	11
998	5701	5
999	5706	0

