identificador,precio_lici,precio_adj_sin_imp,tipo_cont,tipo_pro
1008135,416808.96,133888.0,Servicios,Abierto
1009470,82644.62,82644.58,Suministros,Abierto
1192898,350000.0,68000.0,Servicios,Abierto
1210201,189680.0,55318.14,Servicios,Abierto
1243896,198000.0,190320.0,Servicios,Abierto
1272613,100000.0,100000.0,Servicios,Abierto
1274957,74415.0,57381.12,Servicios,Abierto
1310975,120000.0,80000.0,Servicios,Abierto
1354481,270000.0,205000.0,Suministros,Abierto
1468666,144230.0,1750.0,Servicios,Abierto
1479649,456734.68,281301.28,Suministros,Abierto
1481338,449663.26,80297.01,Servicios,Abierto
1483119,123165.0,77593.95,Servicios,Abierto
1484792,177272.73,138264.46,Servicios,Abierto
1484822,158198.34,59324.95,Servicios,Abierto
1502783,429000.0,89540.0,Servicios,Abierto
1523437,140000.0,56832.0,Servicios,Abierto
1549483,52050.0,12835.53,Servicios,Abierto
1562051,288757.0,222706.06,Servicios,Abierto
1581772,568181.81,72348.0,Servicios,Abierto
1588684,164778.0,85450.0,Servicios,Abierto
1589563,345875.0,174000.0,Servicios,Abierto
1595685,310000.0,248000.0,Servicios,Abierto
1601622,99173.55,99173.55,Suministros,Abierto
1601654,90000.0,35930.32,Servicios,Abierto
1603508,225000.0,157500.0,Servicios,Abierto
1611324,66115.7,66115.7,Suministros,Abierto
1617198,150000.0,46575.0,Servicios,Abierto
1621848,187200.0,31200.0,Servicios,Abierto
1623765,456905.0,274025.73,Servicios,Abierto
1626333,447192.4,218002.66,Servicios,Abierto
1644211,154212.0,67166.15,Servicios,Abierto
1650831,300000.0,185400.0,Servicios,Abierto
1650842,114726.35,52148.34,Suministros,Abierto
1665073,523963.62,220000.0,Servicios,Abierto
1667057,75000.0,34410.0,Servicios,Abierto
1667058,130000.0,104500.0,Servicios,Abierto
1691788,360000.0,164000.0,Servicios,Abierto
1700611,180796.26,179380.04,Obras,Abierto
1701363,25000.0,25000.0,Servicios,Abierto
1701364,105600.0,80926.08,Suministros,Abierto
1703477,24000.0,4890.0,Servicios,Abierto
1703484,120000.0,25800.0,Servicios,Abierto
1713266,133884.3,112800.0,Servicios,Abierto
1713331,22720.0,22720.0,Servicios,Abierto
1730454,568310.4,211130.4,Servicios,Abierto
1730461,440000.0,202400.0,Servicios,Abierto
1731328,109258.0,81850.0,Servicios,Abierto
1766436,43200.0,26544.0,Servicios,Abierto
1773301,502110.4,217622.0,Suministros,Abierto
1791970,35537.19,21855.37,Servicios,Abierto
1817315,300000.0,43000.0,Servicios,Abierto
1817334,356480.0,165689.57,Servicios,Abierto
1835372,30967.87,18549.75,Servicios,Abierto
1837783,205937.49,197638.21,Obras,Abierto
1841022,187323.74,93320.0,Obras,Abierto
1844206,234416.28,173725.91,Obras,Abierto
1847123,160583.97,31938.5,Servicios,Abierto
1849959,289747.08,59000.0,Servicios,Abierto
1852489,133714.08,50472.0,Servicios,Abierto
1853875,12000.0,12000.0,Servicios,Abierto
1872185,110400.0,82800.0,Suministros,Abierto
1874956,440000.0,229317.0,Servicios,Abierto
1878390,228213.0,112123.0,Suministros,Abierto
1882789,212000.0,169000.0,Servicios,Abierto
1890543,170100.0,73125.0,Servicios,Abierto
1913939,328000.0,236012.4,Servicios,Abierto
1916351,357413.0,357413.0,Servicios,Abierto
1922522,111107.4,47196.3,Servicios,Abierto
1926924,17142.84,7928.56,Servicios,Abierto
1926972,25000.0,11700.0,Servicios,Abierto
1929596,500000.0,320841.6,Servicios,Abierto
1941576,158367.18,106397.9,Servicios,Abierto
1943656,48384.0,20760.0,Servicios,Abierto
1950401,71653.47,50000.0,Servicios,Abierto
2012052,322133.4,49383.05,Servicios,Abierto
2015039,250968.66,228042.23,Suministros,Abierto
2015043,153312.09,100000.0,Servicios,Abierto
2015076,300000.0,99991.8,Servicios,Abierto
2015103,218924.54,133900.0,Servicios,Abierto
2017797,380000.0,122834.11,Servicios,Abierto
2017799,252271.75,209360.33,Obras,Abierto
2020132,31730.0,24200.0,Servicios,Abierto
2022178,52435.79,13090.8,Servicios,Abierto
2024606,30000.0,11000.0,Servicios,Abierto
2028934,240000.0,100000.0,Servicios,Abierto
2028950,59917.36,56921.0,Suministros,Abierto
2030955,570545.46,168000.0,Servicios,Abierto
2033577,434500.0,166000.0,Servicios,Abierto
2037753,62231.4,61764.66,Servicios,Abierto
2042434,42975.2,6890.5,Servicios,Abierto
2042625,135768.56,76534.47,Suministros,Abierto
2042709,324000.0,218836.0,Servicios,Abierto
2071180,495867.78,165289.26,Servicios,Abierto
2071204,44000.0,21600.0,Servicios,Abierto
2071456,406399.35,130907.88,Servicios,Abierto
2071470,427061.45,241732.9,Servicios,Abierto
2071594,301725.65,274296.04,Servicios,Abierto
2071840,105600.0,35200.0,Servicios,Abierto
2072465,130000.0,35000.0,Servicios,Abierto
2072563,140400.0,27000.0,Suministros,Abierto
2086255,66115.7,66115.7,Suministros,Abierto
2087850,175260.0,24007.0,Servicios,Abierto
2091018,24000.0,18000.0,Servicios,Abierto
2097670,40000.0,34898.0,Servicios,Abierto
2100759,193663.05,92220.5,Suministros,Abierto
2106848,42199.19,36237.08,Obras,Abierto
2116986,200006.08,124803.79,Obras,Abierto
2116989,65000.0,30771.17,Servicios,Abierto
2118321,366661.01,240419.62,Servicios,Abierto
2123430,189000.0,117714.0,Servicios,Abierto
2125522,403925.6,58182.75,Servicios,Abierto
2129846,60967.91,49890.0,Obras,Abierto
2136129,107163.0,62775.0,Servicios,Abierto
2138239,24793.39,24793.39,Servicios,Abierto
2150671,110480.0,43851.71,Suministros,Abierto
2153131,460816.61,265916.14,Servicios,Abierto
2155640,336000.0,80000.0,Servicios,Abierto
2160616,120000.0,39410.0,Servicios,Abierto
2167837,163800.0,65177.05,Suministros,Abierto
2174986,69002.64,57696.0,Servicios,Abierto
2177523,131165.64,12915.5,Servicios,Abierto
2179972,569455.26,71772.38,Suministros,Abierto
2182611,69500.0,65870.39,Suministros,Abierto
2182708,163800.0,52000.0,Servicios,Abierto
2192474,165037.1,148533.39,Servicios,Abierto
2192496,77953.9,14200.0,Servicios,Abierto
2196495,67548.0,62056.35,Servicios,Abierto
2200561,106920.0,35640.0,Servicios,Abierto
2208482,142619.7,24976.0,Servicios,Abierto
2217240,384640.0,96160.0,Suministros,Abierto
2237989,213168.0,88820.0,Servicios,Abierto
2245685,219548.0,109774.0,Servicios,Abierto
2245707,112188.14,574.0,Suministros,Abierto
2248519,280991.72,70247.93,Servicios,Abierto
2251850,24000.0,8715.0,Servicios,Abierto
2251863,34500.0,31500.0,Suministros,Abierto
2260581,486689.04,330500.0,Servicios,Abierto
2260594,451200.0,94000.0,Servicios,Abierto
2263275,45000.0,24000.0,Servicios,Abierto
